Year,Country Name,Country Code,"Agriculture, forestry, and fishing, value added (% of GDP)","Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, under-5 (per 1,000 live births)",Population ages 65 and above (% of total population),CO2 emissions (metric tons per capita)
1979,Central African Republic,CAF,,5.898,48.737,187.7,4.458100961,0.047962003
1979,Central Europe and the Baltics,CEB,,2.251510983,70.23939699,,11.28653279,11.30180728
1979,East Asia & Pacific,EAS,,3.099294494,65.72795866,,4.722236622,2.166447015
1979,Europe & Central Asia,ECS,,2.193588352,70.06396869,,11.49516341,13.17731176
1979,Latin America & Caribbean,LCN,,4.291611102,64.26000232,,4.318647221,2.410922138
1979,Middle East & North Africa,MEA,,6.274005437,58.26238753,,3.697597573,3.560851166
1979,North America,NAC,,1.802540573,73.90794075,,11.18036444,21.44260623
1979,Sub-Saharan Africa,SSF,,6.78510323,48.10372265,,3.025796237,0.984036728
1979,World,WLD,,3.77341512,62.55547206,,5.860477964,4.696086391
1980,Australia,AUS,,1.891,74.33365854,13,9.623779981,15.02491601
1980,Caribbean small states,CSS,,3.600970005,68.08670901,,5.84571135,7.084247338
1980,Central African Republic,CAF,,5.897,49.153,185.2,4.39551396,0.048351815
1980,Central Europe and the Baltics,CEB,,2.194301586,69.8905098,,11.23619122,11.54082568
1980,East Asia & Pacific,EAS,,2.983740416,66.14431562,,4.824647165,2.131379537
1980,Europe & Central Asia,ECS,,2.167286377,70.16834713,,11.5100364,13.1706318
1980,Latin America & Caribbean,LCN,,4.190963037,64.65183763,,4.355198211,2.47744517
1980,Middle East & North Africa,MEA,,6.227125547,58.63716315,,3.67021457,3.499655105
1980,North America,NAC,,1.829410971,73.75243079,,11.34924231,20.52606065
1980,Sub-Saharan Africa,SSF,,6.773409549,48.44501387,,3.02179999,0.989788453
1980,World,WLD,,3.713652391,62.84174466,,5.892860279,4.601081514
1981,Australia,AUS,,1.935,74.66341463,12.6,9.782122416,15.43250084
1981,Caribbean small states,CSS,,3.534886146,68.30313108,,5.898425933,5.869424843
1981,Central African Republic,CAF,,5.899,49.476,182.9,4.350829034,0.059917216
1981,Central Europe and the Baltics,CEB,,2.150436229,70.37205018,,11.08897828,10.77728371
1981,East Asia & Pacific,EAS,,2.906462904,66.56429509,,4.949120375,2.079261975
1981,Europe & Central Asia,ECS,,2.132954147,70.4327372,,11.47255302,12.62970771
1981,Latin America & Caribbean,LCN,,4.089516549,65.03700893,,4.394372484,2.398174588
1981,Middle East & North Africa,MEA,,6.170934165,59.035902,,3.657758491,3.286560458
1981,North America,NAC,,1.800628121,74.15164237,,11.4818369,19.53134467
1981,Sub-Saharan Africa,SSF,,6.756637957,48.76772191,,3.029195976,1.027089428
1981,World,WLD,,3.656614012,63.1825087,,5.927443881,4.406638284
1982,Australia,AUS,,1.929,74.90487805,12.2,9.894376905,15.42493181
1982,Caribbean small states,CSS,,3.469144237,68.51780596,,5.930071242,5.628531968
1982,Central African Republic,CAF,,5.904,49.713,181.1,4.292064558,0.061238647
1982,Central Europe and the Baltics,CEB,,2.140746548,70.45547332,,10.83086906,10.99103078
1982,East Asia & Pacific,EAS,,2.866937324,66.95983016,,5.060295641,2.121405939
1982,Europe & Central Asia,ECS,,2.14104909,70.72309241,,11.34386037,12.56128757
1982,Latin America & Caribbean,LCN,,3.988057257,65.41724792,,4.426688161,2.410615704
1982,Middle East & North Africa,MEA,,6.101309372,59.50274777,,3.640139561,3.208182504
1982,North America,NAC,,1.813532799,74.49815471,,11.59813373,18.39036091
1982,Sub-Saharan Africa,SSF,,6.734075277,49.07462779,,3.030305415,1.053355442
1982,World,WLD,,3.627155101,63.50892059,,5.93618528,4.314959591
1983,Australia,AUS,,1.924,75.14634146,11.9,9.98633663,14.64008413
1983,Caribbean small states,CSS,,3.399194264,68.71894169,,5.954347417,5.035818701
1983,Central African Republic,CAF,,5.909,49.872,179.8,4.224983671,0.060905477
1983,Central Europe and the Baltics,CEB,,2.143558787,70.38978517,,10.53429483,11.03546444
1983,East Asia & Pacific,EAS,,2.845394361,67.28264845,,5.161276753,2.154039938
1983,Europe & Central Asia,ECS,,2.131091766,70.79233315,,11.17563459,12.51237071
1983,Latin America & Caribbean,LCN,,3.887078365,65.78964569,,4.456245208,2.250576559
1983,Middle East & North Africa,MEA,,6.016117056,60.09307571,,3.621246189,3.313714004
1983,North America,NAC,,1.786931331,74.6202615,,11.70932329,18.33379476
1983,Sub-Saharan Africa,SSF,,6.707450687,49.36280694,,3.02627279,1.040072025
1983,World,WLD,,3.5945681,63.7570354,,5.93196788,4.286135321
1984,Australia,AUS,,1.84,75.38780488,11.6,10.09543696,15.2209753
1984,Caribbean small states,CSS,,3.323057203,68.92093805,,5.978345005,5.024704304
1984,Central African Republic,CAF,,5.914,49.955,178.8,4.156219663,0.060663368
1984,Central Europe and the Baltics,CEB,,2.164233006,70.34911486,,10.29900599,10.96673751
1984,East Asia & Pacific,EAS,,2.836265002,67.61531432,,5.254124105,2.26991737
1984,Europe & Central Asia,ECS,,2.106320464,70.94291381,,11.03892747,12.47675117
1984,Latin America & Caribbean,LCN,,3.787185767,66.15817772,,4.487799965,2.240521411
1984,Middle East & North Africa,MEA,,5.912395161,60.80083538,,3.606558043,3.433027242
1984,North America,NAC,,1.790655884,74.72538912,,11.82519813,18.74897714
1984,Sub-Saharan Africa,SSF,,6.674358267,49.62587722,,3.018159582,1.084576134
1984,World,WLD,,3.564195128,64.02157095,,5.930212265,4.339077192
1985,Australia,AUS,,1.923,75.62926829,11.3,10.24051654,15.3084102
1985,Caribbean small states,CSS,,3.240471782,69.12267545,,5.997999198,5.50472435
1985,Central African Republic,CAF,,5.915,49.966,177.8,4.090050661,0.063468611
1985,Central Europe and the Baltics,CEB,,2.162172798,70.31288347,,10.18111204,11.11412692
1985,East Asia & Pacific,EAS,,2.828482667,67.90456531,,5.339870924,2.342420731
1985,Europe & Central Asia,ECS,,2.090886668,71.15577277,,10.97480888,13.08717572
1985,Latin America & Caribbean,LCN,,3.689062344,66.52328917,,4.524316514,2.263138049
1985,Middle East & North Africa,MEA,,5.786916454,61.61609258,,3.601865252,3.514925706
1985,North America,NAC,,1.826422257,74.74024503,,11.94798844,18.63559701
1985,Sub-Saharan Africa,SSF,,6.635130593,49.85289679,,3.006833855,1.080644413
1985,World,WLD,,3.535984167,64.2791077,,5.93884483,4.428311744
1986,Australia,AUS,,1.868,75.87073171,11,10.37846727,14.98057315
1986,Caribbean small states,CSS,,3.155187474,69.32978327,,6.018873171,4.763919565
1986,Central African Republic,CAF,,5.91,49.912,177,4.076048566,0.062110314
